Description/Owner,RPC Program Number,Short Name,Reference
,200204,cs_printstatus_svr,[RFC5531]
,200205,ecodisc,[RFC5531]
Unassigned,200206 - 300000,,[RFC5531]
,300001,adt_rflockprog,[RFC5531]
,300002,columbine1,[RFC5531]
,300003,system33_prog,[RFC5531]
,300004,frame_prog1,[RFC5531]
,300005,uimxprog,[RFC5531]
,300006,rvd,[RFC5531]
,300007,entombing daemon,[RFC5531]
,300008,account mgmt system,[RFC5531]
,300009,frame_prog2,[RFC5531]
,300010,beeper access,[RFC5531]
,300011,dptuprog,[RFC5531]
,300012,mx-bcp,[RFC5531]
,300013,instrument-file-access,[RFC5531]
,300014,file-system-statistics,[RFC5531]
,300015,unify-database-server,[RFC5531]
,300016,tmd_msg,[RFC5531]
,300017,[unknown],[RFC5531]
,300018,[unknown],[RFC5531]
,300019,automounter access,[RFC5531]
,300020,lock server,[RFC5531]
,300021,[unknown],[RFC5531]
,300022,office-automation-1,[RFC5531]
,300023,office-automation-2,[RFC5531]
,300024,office-automation-3,[RFC5531]
,300025,office-automation-4,[RFC5531]
,300026,office-automation-5,[RFC5531]
,300027,office-automation-6,[RFC5531]
,300028,office-automation-7,[RFC5531]
,300029,local-data-manager,[RFC5531]
,300030,chide,[RFC5531]
,300031,csi_program,[RFC5531]
,300032,[unknown],[RFC5531]
,300033,online-help,[RFC5531]
,300034,case-tool,[RFC5531]
,300035,delta,[RFC5531]
,300036,rgi,[RFC5531]
,300037,instrument-config-server,[RFC5531]
,300038,[unknown],[RFC5531]
,300039,[unknown],[RFC5531]
,300040,dtia-rpc-server,[RFC5531]
,300041,cms,[RFC5531]
,300042,viewer,[RFC5531]
,300043,aqm,[RFC5531]
,300044,exclaim,[RFC5531]
,300045,masterplan,[RFC5531]
,300046,fig_tool,[RFC5531]
,300047,[unknown],[RFC5531]
,300048,[unknown],[RFC5531]
,300049,[unknown],[RFC5531]
,300050,remote-lock-manager,[RFC5531]
,300051,[unknown],[RFC5531]
,300052,gdebug,[RFC5531]
,300053,ldebug,[RFC5531]
,300054,rscanner,[RFC5531]
,300055,[unknown],[RFC5531]
,300056,[unknown],[RFC5531]
,300057,[unknown],[RFC5531]
,300058,[unknown],[RFC5531]
,300059,[unknown],[RFC5531]
,300060,[unknown],[RFC5531]
,300061,[unknown],[RFC5531]
,300062,[unknown],[RFC5531]
,300063,[unknown],[RFC5531]
,300064,[unknown],[RFC5531]
,300065,[unknown],[RFC5531]
,300066,nSERVER,[RFC5531]
,300067,[unknown],[RFC5531]
,300068,[unknown],[RFC5531]
,300069,[unknown],[RFC5531]
,300070,[unknown],[RFC5531]
,300071,BioStation,[RFC5531]
,300072,[unknown],[RFC5531]
,300073,NetProb,[RFC5531]
,300074,Logging,[RFC5531]
,300075,Logging,[RFC5531]
,300076,[unknown],[RFC5531]
,300077,[unknown],[RFC5531]
,300078,[unknown],[RFC5531]
,300079,[unknown],[RFC5531]
,300080,[unknown],[RFC5531]
,300081,[unknown],[RFC5531]
,300082,sw_twin,[RFC5531]
,300083,remote_get_login,[RFC5531]
,300084,odcprog,[RFC5531]
,300085,[unknown],[RFC5531]
,300086,[unknown],[RFC5531]
,300087,[unknown],[RFC5531]
,300088,[unknown],[RFC5531]
,300089,[unknown],[RFC5531]
,300090,[unknown],[RFC5531]
,300091,smartdoc,[RFC5531]
,300092,superping,[RFC5531]
,300093,distributed-chembench,[RFC5531]
,300094,uacman/alfil-uacman,[RFC5531]
,300095,ait_rcagent_prog,[RFC5531]
,300096,ait_rcagent_appl_prog,[RFC5531]
,300097,smart,[RFC5531]
,300098,ecoprog,[RFC5531]
,300099,leonardo,[RFC5531]
,300100,[unknown],[RFC5531]
,300101,[unknown],[RFC5531]
,300102,[unknown],[RFC5531]
,300103,[unknown],[RFC5531]
,300104,[unknown],[RFC5531]
,300105,[unknown],[RFC5531]
,300106,[unknown],[RFC5531]
,300107,[unknown],[RFC5531]
,300108,wingz,[RFC5531]
,300109,teidan,[RFC5531]
,300110,[unknown],[RFC5531]
,300111,[unknown],[RFC5531]
,300112,[unknown],[RFC5531]
,300113,[unknown],[RFC5531]
,300114,[unknown],[RFC5531]
,300115,[unknown],[RFC5531]
,300116,cadc_fhlockprog,[RFC5531]
,300117,highscan,[RFC5531]
,300118,[unknown],[RFC5531]
,300119,[unknown],[RFC5531]
,300120,[unknown],[RFC5531]
,300121,opennavigator,[RFC5531]
,300122,aarpcxfer,[RFC5531]
,300123,[unknown],[RFC5531]
,300124,[unknown],[RFC5531]
,300125,[unknown],[RFC5531]
,300126,groggs,[RFC5531]
,300127,licsrv,[RFC5531]
,300128,issdemon,[RFC5531]
,300129,[unknown],[RFC5531]
,300130,maximize,[RFC5531]
,300131,cgm_server,[RFC5531]
,300132,[unknown],[RFC5531]
,300133,agent_rpc,[RFC5531]
,300134,docmaker,[RFC5531]
,300135,docmaker,[RFC5531]
,300136,[unknown],[RFC5531]
,300137,[unknown],[RFC5531]
,300138,[unknown],[RFC5531]
,300139,iesx,[RFC5531]
,300140,[unknown],[RFC5531]
,300141,[unknown],[RFC5531]
,300142,[unknown],[RFC5531]
,300143,[unknown],[RFC5531]
,300144,smart-mbs,[RFC5531]
,300145,[unknown],[RFC5531]
,300146,[unknown],[RFC5531]
,300147,docimage,[RFC5531]
,300148,[unknown],[RFC5531]
,300149,dmc-interface,[RFC5531]
,300150,[unknown],[RFC5531]
,300151,jss,[RFC5531]
,300152,[unknown],[RFC5531]
,300153,arimage,[RFC5531]
,300154,xdb-workbench,[RFC5531]
,300155,frontdesk,[RFC5531]
,300156,dmc,[RFC5531]
,300157,expressight-6000,[RFC5531]
,300158,graph service program,[RFC5531]
,300159,[unknown],[RFC5531]
,300160,[unknown],[RFC5531]
,300161,[unknown],[RFC5531]
,300162,[unknown],[RFC5531]
,300163,[unknown],[RFC5531]
,300164,[unknown],[RFC5531]
,300165,[unknown],[RFC5531]
,300166,[unknown],[RFC5531]
,300167,[unknown],[RFC5531]
,300168,[unknown],[RFC5531]
,300169,[unknown],[RFC5531]
,300170,[unknown],[RFC5531]
,300171,[unknown],[RFC5531]
,300172,[unknown],[RFC5531]
,300173,[unknown],[RFC5531]
,300174,[unknown],[RFC5531]
,300175,[unknown],[RFC5531]
,300176,rlpr,[RFC5531]
,300177,nx_hostdprog,[RFC5531]
,300178,netuser-x,[RFC5531]
,300179,rmntprog,[RFC5531]
,300180,[unknown],[RFC5531]
,300181,mipe,[RFC5531]
,300182,[unknown],[RFC5531]
,300183,collectorprog,[RFC5531]
,300184,uslookup_PROG,[RFC5531]
,300185,viewstation,[RFC5531]
,300186,iate,[RFC5531]
,300187,[unknown],[RFC5531]
,300188,[unknown],[RFC5531]
,300189,[unknown],[RFC5531]
,300190,imsvtprog,[RFC5531]
,300191,[unknown],[RFC5531]
,300192,[unknown],[RFC5531]
,300193,[unknown],[RFC5531]
,300194,pmdb,[RFC5531]
,300195,pmda,[RFC5531]
,300196,[unknown],[RFC5531]
,300197,[unknown],[RFC5531]
,300198,trend_idbd,[RFC5531]
,300199,rres,[RFC5531]
,300200,sd.masterd,[RFC5531]
,300201,sd.executiond,[RFC5531]
,300202,sd.listend,[RFC5531]
,300203,sd.reserve1,[RFC5531]
,300204,sd.reserve2,[RFC5531]
,300205,msbd,[RFC5531]
,300206,stagedprog,[RFC5531]
,300207,mountprog,[RFC5531]
,300208,watchdprog,[RFC5531]
,300209,pms,[RFC5531]
,300210,[unknown],[RFC5531]
,300211,session_server_program,[RFC5531]
,300212,session_program,[RFC5531]
,300213,debug_serverprog,[RFC5531]
,300214,[unknown],[RFC5531]
,300215,[unknown],[RFC5531]
,300216,paceprog,[RFC5531]
,300217,[unknown],[RFC5531]
,300218,mbus,[RFC5531]
,300219,aframes2ps,[RFC5531]
,300220,npartprog,[RFC5531]
,300221,cm1server,[RFC5531]
,300222,cm1bridge,[RFC5531]
,300223,sailfrogfaxprog,[RFC5531]
,300224,sailfrogphoneprog,[RFC5531]
,300225,sailfrogvmailprog,[RFC5531]
,300226,wserviceprog arcstorm,[RFC5531]
,300227,hld,[RFC5531]
,300228,alive,[RFC5531]
,300229,radsp,[RFC5531]
,300230,radavx,[RFC5531]
,300231,radview,[RFC5531]
,300232,rsys_prog,[RFC5531]
,300233,rsys_prog,[RFC5531]
,300234,fm_rpc_prog,[RFC5531]
,300235,aries,[RFC5531]
,300236,uapman,[RFC5531]
,300237,ddman,[RFC5531]
,300238,top,[RFC5531]
,300239,[unknown],[RFC5531]
,300240,trendlink,[RFC5531]
,300241,licenseprog,[RFC5531]
,300242,statuslicenseprog,[RFC5531]
,300243,oema_rmpf_svc,[RFC5531]
,300244,oema_smpf_svc,[RFC5531]
,300245,oema_rmsg_svc,[RFC5531]
,300246,grapes-sd,[RFC5531]
,300247,ds_master,[RFC5531]
,300248,ds_transfer,[RFC5531]
,300249,ds_logger,[RFC5531]
,300250,ds_query,[RFC5531]
,300251,[unknown],[RFC5531]
,300252,[unknown],[RFC5531]
,300253,nsd_prog,[RFC5531]
,300254,browser,[RFC5531]
,300255,epoch,[RFC5531]
,300256,floorplanner,[RFC5531]
,300257,reach,[RFC5531]
,300258,tactic,[RFC5531]
,300259,cachescientific1,[RFC5531]
,300260,cachescientific2,[RFC5531]
,300261,desksrc_prog,[RFC5531]
,300262,photo3d1,[RFC5531]
,300263,photo3d2,[RFC5531]
,300264,[unknown],[RFC5531]
,300265,soundmgr,[RFC5531]
,300266,s6k,[RFC5531]
,300267,aims_referenced_text_processor,[RFC5531]
,300268,xess,[RFC5531]
,300269,ds_queue,[RFC5531]
,300270,[unknown],[RFC5531]
,300271,orionscanplus,[RFC5531]
,300272,openlink-xx,[RFC5531]
,300273,kbmsprog,[RFC5531]
,300274,[unknown],[RFC5531]
,300275,futuresource,[RFC5531]
,300276,the_xprt,[RFC5531]
,300277,cmg_srvprog,[RFC5531]
,300278,[unknown],[RFC5531]
,300279,[unknown],[RFC5531]
,300280,front,[RFC5531]
,300281,[unknown],[RFC5531]
,300282,[unknown],[RFC5531]
,300283,[unknown],[RFC5531]
,300284,conmanprog,[RFC5531]
,300285,jincv2,[RFC5531]
,300286,isls,[RFC5531]
,300287,systemstatprog,[RFC5531]
,300288,fxpsprog,[RFC5531]
,300289,callpath,[RFC5531]
,300290,axess,[RFC5531]
,300291,armor_rpcd,[RFC5531]
,300292,armor_dictionary_rpcd,[RFC5531]
,300293,armor_miscd,[RFC5531]
,300294,filetransfer_prog,[RFC5531]
,300295,bl_swda,[RFC5531]
